City,State,2014_avg,2015_avg,2016_avg,2017_avg,2018_avg,2019_avg,2020_avg,2021_avg,2022_avg,2023_avg,2024_avg
New York,NY,402362,416699,435647,458805,480549,495660,514550,564338,607852,621560,638713
Los Angeles,CA,494696,516088,543868,593676,651578,661262,702113,800193,897896,898687,923457
Chicago,IL,192162,200389,211026,222481,232501,237701,245586,271834,293834,302620,307221
Dallas,TX,169951,187043,209094,230764,248263,256268,268992,314521,378230,375329,371673
Houston,TX,168793,186431,197103,204476,212859,221167,230612,262498,305275,305278,303308
Washington,DC,370565,379705,389330,403513,416829,429976,454556,504455,538908,545293,549445
Philadelphia,PA,204589,209850,217900,227387,236892,246229,263586,297167,325902,341504,348935
Miami,FL,200846,223165,245172,265504,283371,294073,310008,355446,434521,464518,479160
Atlanta,GA,164934,177744,192215,208022,226878,241342,258325,307101,367642,373378,376632
Boston,MA,369801,392932,419647,449197,476914,487356,515879,578826,630176,651293,666051
Phoenix,AZ,202542,215163,234449,250576,269848,286413,317584,396575,471401,447272,452325
San Francisco,CA,648298,740707,807458,862215,949748,949837,987054,1119241,1214506,1134785,1125517
Riverside,CA,269404,289507,306933,335888,364835,375295,399660,480885,556210,553902,567417
Detroit,MI,120976,131374,142855,156216,169492,179942,189850,215692,233911,239681,241871
Seattle,WA,325732,358004,403613,456087,507562,515188,557399,658337,744567,713872,717214
Minneapolis,MN,218322,229568,244902,262788,279718,292137,309186,345026,369949,369543,363266
San Diego,CA,455060,489168,526856,568041,598377,607060,646321,761293,880894,887806,924382
Tampa,FL,149809,163181,181635,199760,215919,227557,245769,295635,369102,374086,376751
Denver,CO,281894,321411,357919,388872,414595,431914,457589,531361,600709,583083,577830
Baltimore,MD,257717,261765,268078,276653,285422,293499,306728,339876,362871,373489,374880
St. Louis,MO,143988,149174,156570,163980,171020,177637,189393,211916,232033,241385,242893
Orlando,FL,169960,183356,200287,218466,236980,251364,266980,306333,376239,388391,392440
Charlotte,NC,165619,175295,189922,205887,222547,235482,255318,307018,366646,370018,374180
San Antonio,TX,156013,167766,179321,190776,201455,209311,221938,255609,296290,292589,283669
Portland,OR,278833,308924,352773,384008,402926,412587,437920,507005,556685,542276,537251
Sacramento,CA,305752,330053,358881,390451,417450,429860,455404,538391,594632,566659,567882
Pittsburgh,PA,129006,134768,139663,144746,151688,157713,169356,190454,200779,202854,203575
Cincinnati,OH,144756,150585,158546,167923,178283,189706,205722,235473,259982,271017,272896
Austin,TX,240550,265047,284185,298141,308120,317451,344899,455730,535014,478175,455686
Las Vegas,NV,187688,201921,215899,240586,276685,292654,303975,354297,423532,405375,414104
Kansas City,MO,147034,155780,167858,181499,195627,205632,221531,253734,281972,293219,294432
Columbus,OH,147631,158046,168072,179205,193022,206407,224361,256994,289129,300491,303664
Indianapolis,IN,134257,139628,147152,157060,169542,181244,197417,231659,266347,271563,271214
Cleveland,OH,120869,125473,132149,139236,147577,155278,164790,186952,205088,214151,216999
San Jose,CA,762473,876758,923719,968122,1203011,1165033,1203701,1367617,1549118,1480230,1524925
Nashville,TN,189428,208145,232956,258468,279883,291557,310607,362771,438727,435302,433313
Virginia Beach,VA,216063,220958,226196,232204,237850,244968,259899,291423,318884,334437,339632
Providence,RI,237848,247189,262945,282205,298743,309083,332081,384033,426133,446053,456371
Jacksonville,FL,162997,172515,186387,201631,218642,230779,245379,289267,355477,355915,353967
Milwaukee,WI,188354,193766,204748,216638,229184,241878,257932,285421,305295,327022,329452
Oklahoma City,OK,135559,141271,145108,148706,154373,160670,171046,191919,218996,228980,229491
Raleigh,NC,215942,228424,244859,260393,274451,287384,303723,359528,438897,436127,436511
Memphis,TN,118603,123423,128864,137416,148092,159402,174955,203925,236157,237580,235470
Richmond,VA,194805,201673,213094,225170,236674,248244,264496,300261,336292,352995,356266
Louisville,KY,139746,145424,153020,162343,172662,184521,196839,219773,239044,247356,247946
New Orleans,LA,191355,201558,208606,209549,212809,222870,236362,256169,269060,251329,235876
Salt Lake City,UT,244883,259907,283913,310775,339146,361463,397112,485988,554326,535704,532381
Hartford,CT,214607,215821,219066,224558,227827,229904,242080,272954,302888,328556,342525
Buffalo,NY,129999,134606,141298,150226,161104,169160,181913,209358,233322,243727,246470
Birmingham,AL,144311,148819,154501,160257,167836,178180,193240,219929,248631,251612,248009
Rochester,NY,130294,133384,142635,148200,149528,157111,169571,193183,215317,231994,234587
Grand Rapids,MI,148201,158614,173355,189408,203262,215380,231657,268539,300696,309270,310560
Tucson,AZ,170385,175826,183726,199466,209684,224864,245049,295293,342066,341062,344915
