2020,2021,2022,City,State,Abbreviation
2356.0,2361.0,2366.0,Abbeville city,Alabama,AL
4360.0,4292.0,4224.0,Adamsville city,Alabama,AL
659.0,666.0,669.0,Addison town,Alabama,AL
226.0,226.0,221.0,Akron town,Alabama,AL
33385.0,33741.0,33873.0,Alabaster city,Alabama,AL
22407.0,22544.0,22726.0,Albertville city,Alabama,AL
14822.0,14701.0,14636.0,Alexander City city,Alabama,AL
2163.0,2121.0,2075.0,Aliceville city,Alabama,AL
541.0,544.0,553.0,Allgood town,Alabama,AL
944.0,942.0,941.0,Altoona town,Alabama,AL
8844.0,8824.0,8790.0,Andalusia city,Alabama,AL
253.0,254.0,254.0,Anderson town,Alabama,AL
21513.0,21343.0,21182.0,Anniston city,Alabama,AL
8449.0,8501.0,8623.0,Arab city,Alabama,AL
1335.0,1370.0,1393.0,Ardmore town,Alabama,AL
4365.0,4379.0,4364.0,Argo town,Alabama,AL
655.0,657.0,659.0,Ariton town,Alabama,AL
327.0,330.0,331.0,Arley town,Alabama,AL
2248.0,2254.0,2268.0,Ashford town,Alabama,AL
1984.0,1974.0,1967.0,Ashland town,Alabama,AL
2354.0,2378.0,2382.0,Ashville city,Alabama,AL
25703.0,27095.0,28661.0,Athens city,Alabama,AL
8373.0,8353.0,8330.0,Atmore city,Alabama,AL
5831.0,5831.0,5836.0,Attalla city,Alabama,AL
76624.0,78887.0,80006.0,Auburn city,Alabama,AL
796.0,792.0,798.0,Autaugaville town,Alabama,AL
466.0,467.0,474.0,Avon town,Alabama,AL
625.0,629.0,631.0,Babbie town,Alabama,AL
652.0,663.0,673.0,Baileyton town,Alabama,AL
211.0,208.0,206.0,Bakerhill town,Alabama,AL
154.0,154.0,154.0,Banks town,Alabama,AL
8122.0,8222.0,8277.0,Bay Minette city,Alabama,AL
2196.0,2180.0,2163.0,Bayou La Batre city,Alabama,AL
1038.0,1041.0,1050.0,Bear Creek town,Alabama,AL
204.0,204.0,203.0,Beatrice town,Alabama,AL
186.0,184.0,182.0,Beaverton town,Alabama,AL
184.0,184.0,184.0,Belk town,Alabama,AL
41.0,39.0,38.0,Benton town,Alabama,AL
490.0,501.0,506.0,Berlin town,Alabama,AL
1212.0,1201.0,1201.0,Berry town,Alabama,AL
25977.0,25613.0,25264.0,Bessemer city,Alabama,AL
122.0,121.0,122.0,Billingsley town,Alabama,AL
200329.0,197823.0,196910.0,Birmingham city,Alabama,AL
